titolo,ingredienti,tempo,descrizione
Pasta al pomodoro,"pasta,pomodoro,olio,basilico",15,"Classico primo piatto mediterraneo, leggero e saporito."
Pasta al tonno,"pasta,tonno,pomodoro,olio",20,"Ricetta proteica e veloce, ideale per pranzi equilibrati."
Riso con verdure,"riso,carote,zucchine,olio",25,"Piatto vegetariano ricco di fibre e gusto naturale."
Insalata di quinoa,"quinoa,pomodoro,cetriolo,olio,limone",10,"Fresca e leggera, perfetta per giornate calde o pasti rapidi."
Zuppa di legumi,"lenticchie,fagioli,carote,sedano,olio",30,"Ricetta vegana e nutriente, ottima per i mesi freddi."
Polpette di verdure,"zucchine,carote,patate,pangrattato",20,"Contorno o secondo piatto leggero e saporito."
Cous cous mediterraneo,"cous cous,peperoni,olive,pomodoro",15,"Piatti colorato e profumato con verdure fresche."
Orata al forno con patate,"orata,patate,rosmarino,olio",35,"Piatto principale di pesce, sano e gustoso."
Verdure grigliate,"zucchine,melanzane,peperoni,olio",15,"Contorno leggero per ogni tipo di pasto."
Tiramisù light,"yogurt,cacao,savoiardi",20,"Dolce leggero e goloso, con meno zuccheri."
Burger di ceci,"ceci,pane,spezie",25,"Alternativa vegetariana ai burger tradizionali."
Tofu alla piastra,"tofu,zucchine,salsa di soia",15,"Semplice e proteico, ideale per una dieta vegetariana o vegana."
Smoothie verde,"banana,spinaci,latte di soia",5,"Bevanda detox ricca di nutrienti e proteine vegetali."
Riso integrale con verdure,"riso integrale,carote,piselli,olio",25,"Piatto sano e naturale, perfetto per il pranzo quotidiano."
Brownie vegano,"cacao,farina,latte di soia",35,"Dolce vegano facile e gustoso, senza ingredienti animali."
Toast integrale con avocado,"pane integrale,avocado,olio,limone",10,"Colazione o pranzo veloce, ricca di grassi buoni e fibre."
Yogurt con frutta e fiocchi d'avena,"yogurt,fiocchi d'avena,mela,banana",5,"Colazione leggera o spuntino equilibrato, ideale prima di iniziare la giornata."
Frutta fresca mista,"mela,banana,arancia",5,"Spuntino semplice e naturale, perfetto per una pausa veloce."
Mandorle e frutta secca,"mandorle,nocciole,uvetta",2,"Snack energetico e pratico, da consumare lontano dai pasti."
Pane integrale con ricotta e miele,"pane integrale,ricotta,miele",7,"Colazione dolce ma bilanciata, con proteine e carboidrati complessi."
Insalata di pollo e verdure,"pollo,lattuga,pomodoro,carote,olio",20,"Pasto unico proteico e leggero, ideale per pranzo o cena."
Pasta integrale con verdure,"pasta integrale,zucchine,carote,olio",25,"Primo piatto ricco di fibre, perfetto per un pranzo sano."
Riso basmati con pollo e piselli,"riso basmati,pollo,piselli,olio",30,"Piatto completo con carboidrati e proteine, adatto a pranzo o cena."
Zuppa di verdure leggere,"carote,zucchine,sedano,olio",30,"Cena leggera e calda, ideale nelle giornate più fredde."
Frittata di verdure al forno,"uova,zucchine,carote,olio",25,"Secondo piatto proteico, ottimo a cena con contorno di insalata."
